Source,Category,Nominal token demand,Measured tokens,Nominal shortfall,Measurement
cosmopedia_v2,synthetic,800000000,196670235,603329765,older reference bank
dclm_baseline,web,4400000000,unmeasured,unmeasured,not measured in these inputs
finemath_4plus,math,800000000,1124167472,0,results/data/finemath-stock-headroom-20260914.json
fineweb_edu,web,4400000000,unmeasured,unmeasured,not measured in these inputs
finewiki_en,reference,400000000,582070378,0,results/data/finewiki-stock-preparation-20260914.json
megamath_web_pro,math,200000000,unmeasured,unmeasured,not measured in these inputs
pes2o_v3,science,400000000,820097493,0,results/data/pes2o-stock-headroom-20260914.json
stack_edu,code,1200000000,unmeasured,unmeasured,not measured in these inputs
stack_v3_train_permissive,code,300000000,unmeasured,unmeasured,not measured in these inputs
ultradata_math_l2_preview,math,200000000,384788210,0,results/data/ultradata-math-l2-preparation-20260913.json
ultrafineweb_en_v1_4,web,4400000000,1263779846,3136220154,older reference bank
ultrafineweb_l3_multi_style,synthetic,200000000,unmeasured,unmeasured,not measured in these inputs
